,hindi,predicted,test
0,अरमानों,aramaanon,armaano
1,सरकार,sarakaar,sarkar
2,आपका,aapaka,apaka
3,बहकना,bahakana,bahekna
4,दोहरा,doharaa,dohara
5,साहब,saahab,sahab
6,मदमस्त,madamast,madamast
7,छाले,chhale,chhaale
8,किये,kiye,kiye
9,सुनेहरी,sunehri,sunehari
10,उजली,ujli,ujalee
11,ज़ंगें,zangen,zangein
12,मुसकाई,muskaayi,musakaaii
13,अदाएं,adaayen,adaayen
14,रुद्रा,rudraa,rudra
15,गुज़रो,guzaro,guzaro
16,ताना,taana,taanaa
17,नचाया,nachaayaa,nachaya
18,वोटी,voti,voti
19,टुकड़ों,tukadon,tukdon
20,मुननू,munnu,munnu
21,जगाय,jagaaya,jagaay
22,पाई,pai,paayi
23,झोंका,jhonka,jhoka
24,बसती,basati,baste
25,चुप,chupa,chup
26,हरबातूं,harabaaton,harabaatuun
27,बनूंगा,banuunga,banuungaa
28,दा,da,daa
29,कहाऊँ,kahaauun,khaun
30,आमिर,aamir,aamir
31,बू,bu,buu
32,कहने,kahane,kehene
33,कोहरा,kohara,kohara
34,बिकती,bikati,bikti
35,छोड़ूँगी,chhoduungi,chhodungi
36,पहनाऊँगा,pahanaauunga,pahanaaunga
37,दाबा,daaba,daabaa
38,जाउँगी,jaayungi,jaungi
39,खाएगा,khaaegaa,khaayega
40,खाएंगे,khaaenge,khaaenge
41,ढूँढती,dhundti,dhoodti
42,गुमाँ,gumaan,gumaan
43,दोरंगी,dorangi,dorangi
44,क्या,kiya,kaa
45,तांडव,tandav,taandav
46,भेजे,bheje,bheje
47,निगहबाँ,nigahabaan,nigahabaan
48,बाद्शाहों,baadshaaho,baadshaahon
49,झगड़ने,jhagadne,jhagadne
50,चोंच,chon,chonch
51,बहे,bahe,baahe
52,फिरे,phire,fire
53,मजबूर,majabur,majabur
54,नशीनों,nashinon,nashinon
55,बताओ,bataao,batavo
56,मँगाई,mangaai,mangaai
57,नवाजिश,navaajish,navaajish
58,बिगड़ी,bigadi,bigadii
59,हवाओ,hawaao,hawaaon
60,दाल,dala,daal
61,आइना,aaina,aina
62,कड़वी,kadavi,kadavi
63,फ़ासले,faasale,faasale
64,धोंडीबा,dhondibaa,dhondiba
65,चौरंगी,chaurangi,chaurangi
66,नमामि,namaami,namaami
67,अहल,ahal,ahel
68,दीवाना,deewaana,diwaanaa
69,लानत,laanat,laanat
70,रामपुर,raamapur,raamapur
71,बम्बा,bamba,bambaa
72,डले,dale,dale
73,इरादा,iraada,yraadaa
74,ज़लज़ला,zalazaala,zalzala
75,कहाँ,kahaan,khabar
76,इंतकाम,intakaam,intkam
77,बिताये,bitaaye,bitayen
78,बलमा,balama,baalamaa
79,सजदे,sajde,sajjde
80,कपड़ा,kapadaa,kapada
81,पैमाना,paimaana,paimaana
82,चुवा,chuva,chuwa
83,अंगूठी,anguthi,anguthi
84,देना,dena,dienaa
85,उलझनों,ulajhanon,uljhano
86,सूझे,sujhe,sujhe
87,पत्थर,pathar,patthar
88,बिताऊँ,bitaaun,bitanoo
89,मुद्रा,mudra,mudra
90,बोलते,bolate,bolate
91,पहचानेगी,pahachaanegi,pahachaanegi
92,मचलूँ,machalun,machaloon
93,अंजान,anjaan,anjan
94,तन्हाईयाँ,tanhaaiyaan,tanhaiyaan
95,खुदाई,khudaai,khudaaii
96,आयेगा,aayegaa,aayega
97,मुखातिब,mukhaabti,mukhaatib
98,जाएँगे,jayenge,jaayeinge
99,निगाहें,nigaahen,nigaahe
100,सरब,sarab,sarab
101,द,d,d
102,तड़पा,tadapa,tadapaa
103,पिलाए,pilaaye,pilaaye
104,हैदराबादी,haidarabaadi,haidaraabaadi
105,बेरी,beri,beri
106,बदे,bade,bade
107,मुकाबला,mukaabala,mukaabalaa
108,सरसराएं,sarasaraayen,sarsaraayein
109,पराये,paraye,paraaye
110,सिमला,simala,simala
111,झुत,jhut,jhut
112,हँसके,haske,hansake
113,दूरी,duri,duuri
114,लाबोको,labok,laboko
